Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_per_Unit,Units_Sold,Total_Sales,Operating_Profit,Sales_Method
Amazon,1185732,8/10/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,60,650,39000,13650,Online
Amazon,1185732,8/10/21,Midwest,Ohio,Columbus,Women's Apparel,60,675,40500,20250,Online
Amazon,1185732,8/10/21,Midwest,Ohio,Columbus,Men's Street Footwear,61,228,13908,695,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Men's Apparel,62,150,9300,437,Online
Amazon,1185732,7/9/21,Midwest,Ohio,Columbus,Men's Street Footwear,63,252,15876,826,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Women's Apparel,64,196,12544,778,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Men's Apparel,65,500,32500,11375,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Women's Athletic Footwear,65,500,32500,13000,Online
Amazon,1185732,7/9/21,Midwest,Ohio,Columbus,Men's Apparel,65,550,35750,12513,Online
Amazon,1185732,12/9/21,Midwest,Ohio,Columbus,Men's Athletic Footwear,65,625,40625,14219,Online
Amazon,1185732,8/10/21,Midwest,Ohio,Columbus,Men's Street Footwear,65,875,56875,22750,Online
Amazon,1185732,7/9/21,Midwest,Ohio,Columbus,Men's Street Footwear,65,900,58500,23400,Online
Amazon,1185732,7/9/21,Midwest,Ohio,Columbus,Women's Apparel,69,181,12489,787,Online
Amazon,1185732,12/9/21,Midwest,Ohio,Columbus,Men's Street Footwear,70,231,16170,809,Online
Amazon,1185732,6/11/21,Midwest,Ohio,Columbus,Women's Apparel,70,675,47250,23625,Online
Amazon,1185732,7/9/21,Midwest,Ohio,Columbus,Women's Apparel,70,725,50750,25375,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Women's Apparel,74,167,12358,791,Online
Amazon,1185732,12/9/21,Midwest,Ohio,Columbus,Men's Street Footwear,75,825,61875,24750,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Men's Apparel,76,138,10488,514,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Men's Apparel,80,475,38000,13300,Online
Amazon,1185732,11/10/21,Midwest,Ohio,Columbus,Women's Apparel,80,575,46000,23000,Online
Amazon,1185732,11/1/21,Northeast,Maine,Portland,Women's Street Footwear,27,44,1188,64,Online
Amazon,1185732,10/26/21,Northeast,Maine,Portland,Women's Street Footwear,27,52,1404,77,Online
Amazon,1185732,10/20/21,Northeast,Maine,Portland,Women's Street Footwear,29,60,1740,92,Online
Amazon,1185732,11/1/21,Northeast,Maine,Portland,Women's Street Footwear,30,150,4500,1800,Outlet
Amazon,1185732,10/26/21,Northeast,Maine,Portland,Women's Street Footwear,30,200,6000,2400,Outlet
Amazon,1185732,10/27/21,Northeast,Maine,Portland,Women's Athletic Footwear,32,13,416,17,Online
Amazon,1185732,11/2/21,Northeast,Maine,Portland,Women's Athletic Footwear,33,21,693,28,Online
Amazon,1185732,10/21/21,Northeast,Maine,Portland,Women's Athletic Footwear,34,19,646,27,Online
Amazon,1185732,10/27/21,Northeast,Maine,Portland,Women's Athletic Footwear,35,50,1750,525,Outlet
Amazon,1185732,11/2/21,Northeast,Maine,Portland,Women's Athletic Footwear,35,75,2625,788,Outlet
Amazon,1185732,10/29/21,Northeast,Maine,Portland,Women's Apparel,36,50,1800,99,Online
Amazon,1185732,10/31/21,Northeast,Maine,Portland,Men's Athletic Footwear,37,44,1628,77,Online
Amazon,1185732,10/23/21,Northeast,Maine,Portland,Women's Apparel,37,63,2331,119,Online
Amazon,1185732,10/30/21,Northeast,Maine,Portland,Men's Street Footwear,37,122,4514,217,Online
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Men's Athletic Footwear,38,45,1710,80,Online
Amazon,1185732,10/17/21,Northeast,Maine,Portland,Women's Apparel,38,68,2584,134,Online
Amazon,1185732,10/18/21,Northeast,Maine,Portland,Men's Street Footwear,38,140,5320,261,Online
Amazon,1185732,10/25/21,Northeast,Maine,Portland,Men's Athletic Footwear,39,46,1794,88,Online
Amazon,1185732,11/4/21,Northeast,Maine,Portland,Women's Apparel,39,63,2457,125,Online
Amazon,1185732,10/24/21,Northeast,Maine,Portland,Men's Street Footwear,39,127,4953,243,Online
Amazon,1185732,10/31/21,Northeast,Maine,Portland,Men's Athletic Footwear,40,150,6000,2100,Outlet
Amazon,1185732,10/25/21,Northeast,Maine,Portland,Men's Athletic Footwear,40,175,7000,2450,Outlet
Amazon,1185732,10/29/21,Northeast,Maine,Portland,Women's Apparel,40,200,8000,3200,Outlet
Amazon,1185732,11/4/21,Northeast,Maine,Portland,Women's Apparel,40,225,9000,3600,Outlet
Amazon,1185732,10/17/21,Northeast,Maine,Portland,Women's Apparel,40,250,10000,4000,Outlet
Amazon,1185732,10/30/21,Northeast,Maine,Portland,Men's Street Footwear,40,450,18000,6300,Outlet
Amazon,1185732,10/24/21,Northeast,Maine,Portland,Men's Street Footwear,40,470,18800,6580,Outlet
Amazon,1185732,10/18/21,Northeast,Maine,Portland,Men's Street Footwear,40,500,20000,7000,Outlet
Amazon,1185732,11/8/21,Northeast,Maine,Portland,Women's Athletic Footwear,41,34,1394,56,Online
Amazon,1185732,12/29/21,Northeast,Maine,Portland,Women's Street Footwear,41,38,1558,86,Online
Amazon,1185732,12/24/21,Northeast,Maine,Portland,Women's Athletic Footwear,41,51,2091,86,Online
Amazon,1185732,11/14/21,Northeast,Maine,Portland,Women's Athletic Footwear,41,51,2091,88,Online
Amazon,1185732,12/23/21,Northeast,Maine,Portland,Women's Street Footwear,41,68,2788,139,Online
Amazon,1185732,12/30/21,Northeast,Maine,Portland,Women's Athletic Footwear,42,36,1512,68,Online
Amazon,1185732,11/7/21,Northeast,Maine,Portland,Women's Street Footwear,42,47,1974,107,Online
Amazon,1185732,11/13/21,Northeast,Maine,Portland,Women's Street Footwear,42,58,2436,124,Online
Amazon,1185732,11/20/21,Northeast,Maine,Portland,Women's Athletic Footwear,43,44,1892,78,Online
Amazon,1185732,11/19/21,Northeast,Maine,Portland,Women's Street Footwear,43,63,2709,149,Online
Amazon,1185732,12/30/21,Northeast,Maine,Portland,Women's Athletic Footwear,45,125,5625,1688,Outlet
Amazon,1185732,12/29/21,Northeast,Maine,Portland,Women's Street Footwear,45,150,6750,2700,Outlet
Amazon,1185732,11/14/21,Northeast,Maine,Portland,Women's Athletic Footwear,45,175,7875,2363,Outlet
Amazon,1185732,11/7/21,Northeast,Maine,Portland,Women's Street Footwear,45,175,7875,3150,Outlet
Amazon,1185732,11/13/21,Northeast,Maine,Portland,Women's Street Footwear,45,200,9000,3600,Outlet
Amazon,1185732,11/19/21,Northeast,Maine,Portland,Women's Street Footwear,45,225,10125,4050,Outlet
Amazon,1185732,10/22/21,Northeast,Maine,Portland,Men's Apparel,46,45,2070,81,Online
Amazon,1185732,12/28/21,Northeast,Maine,Portland,Men's Athletic Footwear,46,70,3220,151,Online
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Men's Athletic Footwear,46,84,3864,185,Online
Amazon,1185732,11/3/21,Northeast,Maine,Portland,Men's Apparel,47,20,940,36,Online
Amazon,1185732,10/16/21,Northeast,Maine,Portland,Men's Apparel,47,42,1974,77,Online
Amazon,1185732,11/6/21,Northeast,Maine,Portland,Men's Athletic Footwear,48,60,2880,144,Online
Amazon,1185732,11/12/21,Northeast,Maine,Portland,Men's Athletic Footwear,48,77,3696,181,Online
Amazon,1185732,10/28/21,Northeast,Maine,Portland,Men's Apparel,49,29,1421,51,Online
Amazon,1185732,12/22/21,Northeast,Maine,Portland,Men's Athletic Footwear,49,90,4410,207,Online
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Women's Athletic Footwear,50,26,1300,52,Online
Amazon,1185732,11/15/21,Northeast,Maine,Portland,Men's Apparel,50,53,2650,95,Online
Amazon,1185732,11/3/21,Northeast,Maine,Portland,Men's Apparel,50,75,3750,938,Outlet
Amazon,1185732,10/28/21,Northeast,Maine,Portland,Men's Apparel,50,100,5000,1250,Outlet
Amazon,1185732,12/21/21,Northeast,Maine,Portland,Men's Street Footwear,50,147,7350,338,Online
Amazon,1185732,10/16/21,Northeast,Maine,Portland,Men's Apparel,50,150,7500,1875,Outlet
Amazon,1185732,11/6/21,Northeast,Maine,Portland,Men's Athletic Footwear,50,200,10000,3500,Outlet
Amazon,1185732,12/28/21,Northeast,Maine,Portland,Men's Athletic Footwear,50,250,12500,4375,Outlet
Amazon,1185732,11/12/21,Northeast,Maine,Portland,Men's Athletic Footwear,50,275,13750,4813,Outlet
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Men's Athletic Footwear,50,300,15000,5250,Outlet
Amazon,1185732,11/9/21,Northeast,Maine,Portland,Men's Apparel,51,42,2142,79,Online
Amazon,1185732,11/17/21,Northeast,Maine,Portland,Men's Street Footwear,51,143,7293,357,Online
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Women's Street Footwear,52,31,1612,89,Online
Amazon,1185732,12/31/21,Northeast,Maine,Portland,Men's Apparel,52,36,1872,69,Online
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Women's Athletic Footwear,52,50,2600,112,Online
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Men's Athletic Footwear,52,52,2704,135,Online
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Women's Street Footwear,52,55,2860,149,Online
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Women's Street Footwear,52,68,3536,177,Online
Amazon,1185732,11/5/21,Northeast,Maine,Portland,Men's Street Footwear,52,144,7488,337,Online
Amazon,1185732,11/21/21,Northeast,Maine,Portland,Men's Apparel,53,60,3180,121,Online
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Men's Athletic Footwear,53,74,3922,196,Online
Amazon,1185732,12/27/21,Northeast,Maine,Portland,Men's Street Footwear,53,122,6466,310,Online
Amazon,1185732,12/25/21,Northeast,Maine,Portland,Men's Apparel,54,41,2214,82,Online
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Women's Athletic Footwear,54,46,2484,107,Online
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Men's Athletic Footwear,54,59,3186,156,Online
Amazon,1185732,12/26/21,Northeast,Maine,Portland,Women's Apparel,54,91,4914,265,Online
Amazon,1185732,11/11/21,Northeast,Maine,Portland,Men's Street Footwear,54,158,8532,401,Online
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Women's Athletic Footwear,55,100,5500,1650,Outlet
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Men's Street Footwear,55,120,6600,330,Online
Amazon,1185732,12/31/21,Northeast,Maine,Portland,Men's Apparel,55,125,6875,1719,Outlet
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Women's Street Footwear,55,125,6875,2750,Outlet
Amazon,1185732,12/25/21,Northeast,Maine,Portland,Men's Apparel,55,150,8250,2063,Outlet
Amazon,1185732,11/15/21,Northeast,Maine,Portland,Men's Apparel,55,175,9625,2406,Outlet
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Women's Athletic Footwear,55,175,9625,2888,Outlet
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Women's Street Footwear,55,195,10725,4290,Outlet
Amazon,1185732,11/21/21,Northeast,Maine,Portland,Men's Apparel,55,200,11000,2750,Outlet
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Women's Athletic Footwear,55,200,11000,3300,Outlet
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Men's Athletic Footwear,55,200,11000,3850,Outlet
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Men's Athletic Footwear,55,225,12375,4331,Outlet
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Women's Street Footwear,55,250,13750,5500,Outlet
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Men's Athletic Footwear,55,275,15125,5294,Outlet
Amazon,1185732,12/27/21,Northeast,Maine,Portland,Men's Street Footwear,55,450,24750,8663,Outlet
Amazon,1185732,11/5/21,Northeast,Maine,Portland,Men's Street Footwear,55,495,27225,9529,Outlet
Amazon,1185732,12/21/21,Northeast,Maine,Portland,Men's Street Footwear,55,525,28875,10106,Outlet
Amazon,1185732,11/17/21,Northeast,Maine,Portland,Men's Street Footwear,55,550,30250,10588,Outlet
Amazon,1185732,11/10/21,Northeast,Maine,Portland,Women's Apparel,56,72,4032,214,Online
Amazon,1185732,11/16/21,Northeast,Maine,Portland,Women's Apparel,56,85,4760,243,Online
Amazon,1185732,9/17/21,Northeast,Maine,Portland,Women's Apparel,57,59,3363,175,Online
Amazon,1185732,12/20/21,Northeast,Maine,Portland,Women's Apparel,58,113,6554,354,Online
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Men's Apparel,60,41,2460,89,Online
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Men's Apparel,60,54,3240,117,Online
Amazon,1185732,9/17/21,Northeast,Maine,Portland,Women's Apparel,60,225,13500,5400,Outlet
Amazon,1185732,11/10/21,Northeast,Maine,Portland,Women's Apparel,60,275,16500,6600,Outlet
Amazon,1185732,12/26/21,Northeast,Maine,Portland,Women's Apparel,60,325,19500,7800,Outlet
Amazon,1185732,12/20/21,Northeast,Maine,Portland,Women's Apparel,60,375,22500,9000,Outlet
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Men's Street Footwear,60,400,24000,8400,Outlet
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Men's Apparel,61,27,1647,63,Online
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Men's Street Footwear,62,98,6076,298,Online
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Men's Street Footwear,62,138,8556,411,Online
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Men's Apparel,65,100,6500,1625,Outlet
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Men's Apparel,65,150,9750,2438,Outlet
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Men's Apparel,65,200,13000,3250,Outlet
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Men's Street Footwear,65,375,24375,8531,Outlet
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Men's Street Footwear,65,475,30875,10806,Outlet
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Women's Apparel,67,63,4221,228,Online
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Women's Apparel,68,56,3808,202,Online
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Women's Apparel,69,75,5175,274,Online
Amazon,1185732,10/19/21,Northeast,Maine,Portland,Women's Apparel,70,225,15750,6300,Outlet
Amazon,1185732,11/18/21,Northeast,Maine,Portland,Women's Apparel,70,250,17500,7000,Outlet
Amazon,1185732,12/17/21,Northeast,Maine,Portland,Women's Apparel,70,300,21000,8400,Outlet
Amazon,1185732,2/12/21,Northeast,Massachusetts,Boston,Women's Street Footwear,25,85,2125,85,Outlet
Amazon,1185732,1/14/21,Northeast,Massachusetts,Boston,Women's Street Footwear,27,101,2727,109,Outlet
Amazon,1185732,1/14/21,Northeast,Massachusetts,Boston,Women's Athletic Footwear,29,53,1537,60,Outlet
Amazon,1185732,1/14/21,Northeast,Massachusetts,Boston,Women's Street Footwear,32,91,2912,131,Online
Amazon,1185732,2/12/21,Northeast,Massachusetts,Boston,Men's Athletic Footwear,33,72,2376,112,Outlet
Amazon,1185732,2/12/21,Northeast,Massachusetts,Boston,Women's Street Footwear,33,74,2442,122,Online
Amazon,1185732,2/12/21,Northeast,Massachusetts,Boston,Men's Street Footwear,33,184,6072,285,Outlet
Amazon,1185732,1/14/21,Northeast,Massachusetts,Boston,Women's Apparel,34,104,3536,152,Outlet
Amazon,1185732,1/14/21,Northeast,Massachusetts,Boston,Men's Street Footwear,35,179,6265,326,Outlet
